,tweets
47,The #police are going to continue murdering Americans until they are held accountable for their crimes.… https://t.co/bwhbZYPFuR
48,The thing is if u aren't outraged YOU ARE DETACHED or PRIVILEGED or BOTH and YOU NEED TO STFU #GeorgeFloyd… https://t.co/rqT1iHnMMc
49,"Chemical warfare tear gas CAUSES MISCARRIAGE AND BLEEDING

#LessLethalDoesNotMeanNonLeathal
#AntiBlackWar… https://t.co/n9mvqWSXM2"
50,"“If the bag ventilation did not have any effect on the CO2, then we should also assume it did not have any effect o… https://t.co/0Thk8jCGxl"
51,"@EpochTimes “If the bag ventilation did not have any effect on the CO2, then we should also assume it did not have… https://t.co/yfyYSVs2H1"
52,"@ananavarro “If the bag ventilation did not have any effect on the CO2, then we should also assume it did not have… https://t.co/ZrAmNwB86J"
53,"@keithboykin “If the bag ventilation did not have any effect on the CO2, then we should also assume it did not have… https://t.co/iZFEIGLbq4"
54,"@keithboykin “If the bag ventilation did not have any effect on the CO2, then we should also assume it did not have… https://t.co/fGw12tL15P"
55,@WORTHGARRY @GiveSchumacher @FoxNews There was no defense. Their only argument was that he OD’d but he didn’t. Had… https://t.co/gIxol9DgzU
56,"3 Dead per Day. #Abolition. Throughout Trial Over #GeorgeFloyd’s Death, Killings by #Police Mount https://t.co/NW1L9Tlgdr"
57,"“Since #GeorgeFloyd testimony began March 29, at least 64 people have died at the hands of law enforcement nationwi… https://t.co/asPSs2erdL"
58,Today at #GeorgeFloyd Square https://t.co/o0flnc0HRy
59,"Out of control cops. Kill people, assault people, and harass journalists now.  Priorities are confused.  Trump infl… https://t.co/wTwQbLm2x5"
60,"This incident took place on Sat., 5/30/2020 south of  High St. &amp; W 1st Ave  in the Short North at #GeorgeFloyd… https://t.co/7dElcFEJmb"
61,"This incident took place on May 29, 2020 at 10pm on East Broad St. between High and 3rd St at #GeorgeFloyd… https://t.co/8VcvyJ6x3E"
62,This incident took place on May 29 at 10pm on East Broad St. between High and 3rd St..   If you were present or you… https://t.co/zGhra2qJ7c
63,This incident took place on 5/29/2020 State and High at #GeorgeFloyd #ColumbusOH protests.   If you were present or… https://t.co/ECHghiWdg7
64,"This incident took place on June 1, Lane Avenue east of High St at #GeorgeFloyd #ColumbusOH protests.   If you were… https://t.co/cWUyDmVYk9"
65,"This incident took place on June 1, Lane Avenue east of High St at #GeorgeFloyd #ColumbusOH protests.   If you were… https://t.co/D591rpt6WN"
66,This incident happened on 5/29/20 between High Street and Third on East Broad at around 10PM @ #GEORGEFLOYD protest… https://t.co/kMakbEGlUJ
67,We are seeking the public's assistance regarding the #GeorgeFloyd protests in #Columbus in May/June 2020. If you we… https://t.co/05ofWpkic4
68,"My granddaughter in Brooklyn Center, MN peacefully protesting today. Sitting on the sidewalk. This is our future.… https://t.co/o8NI23DR3c"
69,"If Putin lets #Navalny starve himself to death, the riots in Russia will rival the #GeorgeFloyd riots in America in the coming week....(tgj)"
70,"#derekchauvin #DerekChauvinTrial #GeorgeFloyd 
#minneapolis #Minnesota 

Where is the racism?

@MnDPS_BCA… https://t.co/HeGwJf4MaT"
71,Really @kare11 @KSTP @wcco @AttorneyCrump @ACLU @GovTimWalz @CNN @sarasidnerCNN #BlackLivesMatter #NoJusticeNoPeace… https://t.co/ugGDkWfZZU
72,Then let’s hope that the judicial system of this country is truly blind and will deliver justice for #GeorgeFloyd https://t.co/cDRJ3vvouV
73,"May the Force be with you, all. But Force by Police? Shades of color could tragically lead one from a vaccine site… https://t.co/uRiuQmJpFk"
74,Saturday’s episode of THE POLITICRAT daily podcast @_PodLink: https://t.co/8cx2GQg7Y5 #AdamToledo #DaunteWright #GeorgeFloyd #BreonnaTaylor
75,"@drvibeshow @AishaStaggers @jilldjones “Staggers State Of Things – April 10, 2021″ live via video right now at… https://t.co/5ZJ2LKKMLM"
76,"@drvibeshow @AishaStaggers @jilldjones “Staggers State Of Things – April 10, 2021″ live via video right now at… https://t.co/9XiU7PR1HU"
77,"@AaronParnas @LaToyaRatlieff You got it!!

#GeorgeFloydWasMurdered
#BreonnaTaylor
#AhmaudArbery
#SayTheirNames… https://t.co/mwiXB5vQ3U"
78,"Your daily reminder that our ""elites"" are not entirely cynical or subversive. A substantial part is mentally ill.
T… https://t.co/N41qwhEvX3"
79,"@brycetache George's mama says they won't have justice, because justice would be having her son alive again. She sa… https://t.co/gIO68HnLPr"
80,"An American ""Silence Pandemic"" Another              Fatal Shooting of Latino Man in Texas Caught on Video… https://t.co/UtQHbLt2K1"
81,"They already spent $1,000,000 for trial security because a cop killed #GeorgeFloyd.
#PublicDefenders have to justif… https://t.co/vY0Bd1njnG"
82,"DEDICATED TO ALL THE PEEPS OUT IN
#BrooklynCenter

NO SLEEP TILL BROOKLYN!!

https://t.co/5alitYFUEI… https://t.co/otFxG2Nflz"
83,"Operation Safety Net is policing #GeorgeFloyd &amp; #DaunteWright protests. Protesters, neighbors, media and medics hav… https://t.co/A5L1RO6aFQ"
84,I see #DerekChauvinTrial turning out GUILTY of Second Degrees Manslaughter. Sentence 8 years. #GeorgeFloyd
85,"@suzettesmith We don't need no water.
#DerekChauvin #GeorgeFloyd #DaunteWright https://t.co/z2nJg9kB8e"
86,"It's been a rough week. Running clears my mind. There is a certain calmness of the lake. 
#DefundThePolice… https://t.co/ZGU7jjW6gT"
87,"4. If you brush them off, think simply they're not bothering you, (RE #2 &amp; #3), consider that you're still providin… https://t.co/Muj769hLtM"
88,"Stretch out that #baby anus yet? 

@JesseBWatters #billiamwatters #JessefordBilliamWatters @WattersWorld @FoxNews… https://t.co/HbhTudlMGq"
89,(1742) MOAK - BLM (Black Lives Matter) || Spoken Word https://t.co/sPbQu3hjd7  #GeorgeFloyd #GeorgeFloydTrial… https://t.co/8iYdz9HdCO
90,I've wrote some s*** down for my second track on my EP (#Rising) after feeling mad inspired by @CryptTheRapper's tr… https://t.co/5h2XGJy1bs
91,"My latest piece, 'That Week of Fear and Death' was published in 'Politically Speaking'. I hope you'll read it and s… https://t.co/WdM5i68WG1"
92,"#TimothyLoehmann killed a 12 year old boy SECONDS after getting out of his car
#DerekChauvin knelt on a man's neck… https://t.co/Rkz0gatNZs"
93,"I am openly thinking about a trip to #Minneapolis &amp; to observe the #DerekChauvinTrial this next week, what do you a… https://t.co/63di7K2Uzk"
94,"Soccer is more than sport.

@MNUFC GK Dayne St. Clair brought Voices For Racial Justice @Voices4RJ to my attention… https://t.co/MmrUzyfOy9"
